,code,name,name_long,bid,vat_number,city_or_mun,language,mun_center,province,subregion
18,065,Geta,Geta kommun,0205012-4,FI02050124,kunta,ruotsi,Vestergeta,Ahvenanmaa,Ålands landsbygd
19,069,Haapajärvi,Haapajärven kaupunki,0209756-3,FI02097563,kaupunki,suomi,Haapajärven keskustaajama,Pohjois-Pohjanmaa,Nivala–Haapajärven seutukunta
20,071,Haapavesi,Haapaveden kaupunki,0184872-4,FI01848724,kaupunki,suomi,Haapaveden keskustaajama,Pohjois-Pohjanmaa,Haapaveden-Siikalatvan seutukunta
21,072,Hailuoto,Hailuodon kunta,0184918-8,FI01849188,kunta,suomi,Hailuodon kirkonkylä,Pohjois-Pohjanmaa,Oulun seutukunta
22,074,Halsua,Halsuan kunta,0177826-0,FI01778260,kunta,suomi,Halsuan kirkonkylä,Keski-Pohjanmaa,Kaustisen seutukunta
23,075,Hamina,Haminan kaupunki,0242496-6,FI02424966,kaupunki,suomi,Haminan keskustaajama,Kymenlaakso,Kotka–Haminan seutukunta
24,076,Hammarland,Hammarland kommun,0205014-0,FI02050140,kunta,ruotsi,Kattby,Ahvenanmaa,Ålands landsbygd
25,077,Hankasalmi,Hankasalmen kunta,0174035-0,FI01740350,kunta,suomi,Hankasalmen kirkonkylä,Keski-Suomi,Jyväskylän seutukunta
26,078,Hanko,Hangon kaupunki,0103166-9,FI01031669,kaupunki,"suomi, ruotsi",Hangon keskustaajama,Uusimaa,Raaseporin seutukunta
27,079,Harjavalta,Harjavallan kaupunki,0132585-1,FI01325851,kaupunki,suomi,Harjavallan keskustaajama,Satakunta,Porin seutukunta
28,081,Hartola,Hartolan kunta,0163734-5,FI01637345,kunta,suomi,Hartolan kirkonkylä,Päijät-Häme,Lahden seutukunta
29,082,Hattula,Hattulan kunta,0145801-3,FI01458013,kunta,suomi,Parola,Kanta-Häme,Hämeenlinnan seutukunta
30,086,Hausjärvi,Hausjärven kunta,0145997-2,FI01459972,kunta,suomi,Oitti,Kanta-Häme,Riihimäen seutukunta
31,111,Heinola,Heinolan kaupunki,1068892-9,FI10688929,kaupunki,suomi,Heinolan keskustaajama,Päijät-Häme,Lahden seutukunta
32,090,Heinävesi,Heinäveden kunta,0164308-3,FI01643083,kunta,suomi,Heinäveden kirkonkylä,Pohjois-Karjala,Joensuun seutukunta
33,091,Helsinki,Helsingin kaupunki,0201256-6,FI02012566,kaupunki,"suomi, ruotsi",Helsingin keskustaajama,Uusimaa,Helsingin seutukunta
34,097,Hirvensalmi,Hirvensalmen kunta,0164384-1,FI01643841,kunta,suomi,Hirvensalmen kirkonkylä,Etelä-Savo,Mikkelin seutukunta
35,098,Hollola,Hollolan kunta,0146248-5,FI01462485,kunta,suomi,Salpakangas,Päijät-Häme,Lahden seutukunta
36,102,Huittinen,Huittisten kaupunki,0203762-4,FI02037624,kaupunki,suomi,Lauttakylä,Satakunta,Porin seutukunta
37,103,Humppila,Humppilan kunta,0146456-0,FI01464560,kunta,suomi,Humppilan asemanseutu,Kanta-Häme,Forssan seutukunta
38,105,Hyrynsalmi,Hyrynsalmen kunta,0185075-2,FI01850752,kunta,suomi,Hyrynsalmen kirkonkylä,Kainuu,Kehys-Kainuun seutukunta
39,106,Hyvinkää,Hyvinkään kaupunki,0125866-0,FI01258660,kaupunki,suomi,Hyvinkään keskustaajama,Uusimaa,Helsingin seutukunta
40,108,Hämeenkyrö,Hämeenkyrön kunta,0132947-3,FI01329473,kunta,suomi,Pappila,Pirkanmaa,Tampereen seutukunta
41,109,Hämeenlinna,Hämeenlinnan kaupunki,0146921-4,FI01469214,kaupunki,suomi,Hämeenlinnan keskustaajama,Kanta-Häme,Hämeenlinnan seutukunta
42,139,Ii,Iin kunta,2054621-1,FI20546211,kunta,suomi,Iin Hamina,Pohjois-Pohjanmaa,Oulunkaaren seutukunta
43,140,Iisalmi,Iisalmen kaupunki,9086071-6,FI90860716,kaupunki,suomi,Iisalmen keskustaajama,Pohjois-Savo,Ylä-Savon seutukunta
44,142,Iitti,Iitin kunta,0158766-7,FI01587667,kunta,suomi,Kausala,Päijät-Häme,Lahden seutukunta
45,143,Ikaalinen,Ikaalisten kaupunki,0203797-4,FI02037974,kaupunki,suomi,Ikaalisten keskustaajama,Pirkanmaa,Luoteis-Pirkanmaan seutukunta
46,145,Ilmajoki,Ilmajoen kunta,0178008-8,FI01780088,kunta,suomi,Ilmajoen kirkonkylä,Etelä-Pohjanmaa,Seinäjoen seutukunta
47,146,Ilomantsi,Ilomantsin kunta,0167589-4,FI01675894,kunta,suomi,Ilomantsin kirkonkylä,Pohjois-Karjala,Joensuun seutukunta
48,153,Imatra,Imatran kaupunki,0159216-7,FI01592167,kaupunki,suomi,Mansikkala,Etelä-Karjala,Imatran seutukunta
49,148,Inari,Inarin kunta,0190758-7,FI01907587,kunta,"suomi, pohjoissaame, inarinsaame, koltansaame",Ivalo,Lappi,Pohjois-Lapin seutukunta
50,149,Inkoo,Ingå kommun,0126293-4,FI01262934,kunta,"ruotsi, suomi",Inkoon kirkonkylä,Uusimaa,Raaseporin seutukunta
51,151,Isojoki,Isojoen kunta,0178071-5,FI01780715,kunta,suomi,Isojoen kirkonkylä,Etelä-Pohjanmaa,Suupohjan seutukunta
52,152,Isokyrö,Isonkyrön kunta,0178131-2,FI01781312,kunta,suomi,Isonkyrön kirkonkylä,Etelä-Pohjanmaa,Seinäjoen seutukunta
53,165,Janakkala,Janakkalan kunta,0147510-4,FI01475104,kunta,suomi,Turenki,Kanta-Häme,Hämeenlinnan seutukunta
54,167,Joensuu,Joensuun kaupunki,0242746-2,FI02427462,kaupunki,suomi,Joensuun keskustaajama,Pohjois-Karjala,Joensuun seutukunta
55,169,Jokioinen,Jokioisten kunta,0147645-7,FI01476457,kunta,suomi,Jokioisten keskustaajama,Kanta-Häme,Forssan seutukunta
56,170,Jomala,Jomala kommun,0205023-9,FI02050239,kunta,ruotsi,Prästgården,Ahvenanmaa,Ålands landsbygd
57,171,Joroinen,Joroisten kunta,0207112-8,FI02071128,kunta,suomi,Joroisten kirkonkylä,Pohjois-Savo,Varkauden seutukunta
58,172,Joutsa,Joutsan kunta,0174108-9,FI01741089,kunta,suomi,Joutsan kirkonkylä,Keski-Suomi,Joutsan seutukunta
59,176,Juuka,Juuan kunta,0168654-2,FI01686542,kunta,suomi,Juuan kirkonkylä,Pohjois-Karjala,Joensuun seutukunta
60,177,Juupajoki,Juupajoen kunta,0147705-4,FI01477054,kunta,suomi,Korkeakoski,Pirkanmaa,Ylä-Pirkanmaan seutukunta
61,178,Juva,Juvan kunta,0164551-3,FI01645513,kunta,suomi,Juvan kirkonkylä,Etelä-Savo,Pieksämäen seutukunta
62,179,Jyväskylä,Jyväskylän kaupunki,0174666-4,FI01746664,kaupunki,suomi,Jyväskylän keskustaajama,Keski-Suomi,Jyväskylän seutukunta
63,181,Jämijärvi,Jämijärven kunta,0133127-4,FI01331274,kunta,suomi,Jämijärven kirkonkylä,Satakunta,Pohjois-Satakunnan seutukunta
64,182,Jämsä,Jämsän kaupunki,0175622-1,FI01756221,kaupunki,suomi,Seppola,Keski-Suomi,Jämsän seutukunta
65,186,Järvenpää,Järvenpään kaupunki,0126541-4,FI01265414,kaupunki,suomi,Järvenpään keskustaajama,Uusimaa,Helsingin seutukunta
66,202,Kaarina,Kaarinan kaupunki,0133226-9,FI01332269,kaupunki,suomi,Kaarinan keskusta,Varsinais-Suomi,Turun seutukunta
67,204,Kaavi,Kaavin kunta,0170664-6,FI01706646,kunta,suomi,Kaavin kirkonkylä,Pohjois-Savo,Koillis-Savon seutukunta
68,205,Kajaani,Kajaanin kaupunki,0214958-9,FI02149589,kaupunki,suomi,Kajaanin keskustaajama,Kainuu,Kajaanin seutukunta
69,208,Kalajoki,Kalajoen kaupunki,0185924-7,FI01859247,kaupunki,suomi,Kalajoen kirkonkylä,Pohjois-Pohjanmaa,Ylivieskan seutukunta
70,211,Kangasala,Kangasalan kaupunki,1923299-5,FI19232995,kaupunki,suomi,Kangasalan kirkonkylä,Pirkanmaa,Tampereen seutukunta
71,213,Kangasniemi,Kangasniemen kunta,0164690-3,FI01646903,kunta,suomi,Kangasniemen kirkonkylä,Etelä-Savo,Mikkelin seutukunta
72,214,Kankaanpää,Kankaanpään kaupunki,0133596-1,FI01335961,kaupunki,suomi,Kankaanpään keskustaajama,Satakunta,Pohjois-Satakunnan seutukunta
73,216,Kannonkoski,Kannonkosken kunta,0175798-8,FI01757988,kunta,suomi,Kannonkosken kirkonkylä,Keski-Suomi,Saarijärven–Viitasaaren seutukunta
74,217,Kannus,Kannuksen kaupunki,0178455-6,FI01784556,kaupunki,suomi,Kannuksen keskustaajama,Keski-Pohjanmaa,Kokkolan seutukunta
75,218,Karijoki,Karijoen kunta,0178498-6,FI01784986,kunta,suomi,Karijoen kirkonkylä,Etelä-Pohjanmaa,Suupohjan seutukunta
76,224,Karkkila,Karkkilan kaupunki,0127046-7,FI01270467,kaupunki,suomi,Karkkilan keskustaajama,Uusimaa,Helsingin seutukunta
77,226,Karstula,Karstulan kunta,9094917-1,FI90949171,kunta,suomi,Karstulan kirkonkylä,Keski-Suomi,Saarijärven–Viitasaaren seutukunta
78,230,Karvia,Karvian kunta,0133735-0,FI01337350,kunta,suomi,Karvian kirkonkylä,Satakunta,Pohjois-Satakunnan seutukunta
79,231,Kaskinen,Kaskisten kaupunki kaskö stad,0208787-5,FI02087875,kaupunki,"suomi, ruotsi",Kaskisten keskustaajama,Pohjanmaa,Suupohjan rannikkoseutu
80,232,Kauhajoki,Kauhajoen kaupunki,0178718-3,FI01787183,kaupunki,suomi,Kauhajoen keskustaajama,Etelä-Pohjanmaa,Suupohjan seutukunta
81,233,Kauhava,Kauhavan kaupunki,0208852-8,FI02088528,kaupunki,suomi,Kauhavan keskustaajama,Etelä-Pohjanmaa,Seinäjoen seutukunta
82,235,Kauniainen,Kauniaisten kaupunki,0203026-2,FI02030262,kaupunki,"suomi, ruotsi",Kauniainen,Uusimaa,Helsingin seutukunta
83,236,Kaustinen,Kaustisen kunta,0178981-6,FI01789816,kunta,suomi,Kaustisen kirkonkylä,Keski-Pohjanmaa,Kaustisen seutukunta
84,239,Keitele,Keiteleen kunta,0170773-7,FI01707737,kunta,suomi,Keiteleen kirkonkylä,Pohjois-Savo,Ylä-Savon seutukunta
85,240,Kemi,Kemin kaupunki,0210427-6,FI02104276,kaupunki,suomi,Kemin keskustaajama,Lappi,Kemi–Tornion seutukunta
86,320,Kemijärvi,Kemijärven kaupunki,0191717-9,FI01917179,kaupunki,suomi,Kemijärven keskustaajama,Lappi,Itä-Lapin seutukunta
87,241,Keminmaa,Keminmaan kunta,0210469-8,FI02104698,kunta,suomi,Laurila,Lappi,Kemi–Tornion seutukunta
88,322,Kemiönsaari,Kimitoöns kommun,0133833-7,FI01338337,kunta,"ruotsi, suomi",Kemiön kirkonkylä,Varsinais-Suomi,Turunmaan seutukunta
89,244,Kempele,Kempeleen kunta,0186002-9,FI01860029,kunta,suomi,Asemanseutu,Pohjois-Pohjanmaa,Oulun seutukunta
90,245,Kerava,Keravan kaupunki,0127485-5,FI01274855,kaupunki,suomi,Keravan keskustaajama,Uusimaa,Helsingin seutukunta
91,249,Keuruu,Keuruun kaupunki,0208388-2,FI02083882,kaupunki,suomi,Keuruun keskustaajama,Keski-Suomi,Keuruun seutukunta
92,250,Kihniö,Kihniön kunta,0133862-8,FI01338628,kunta,suomi,Kihniön kirkonkylä,Pirkanmaa,Luoteis-Pirkanmaan seutukunta
93,256,Kinnula,Kinnulan kunta,0242816-6,FI02428166,kunta,suomi,Kinnulan kirkonkylä,Keski-Suomi,Saarijärven–Viitasaaren seutukunta
94,257,Kirkkonummi,Kirkkonummen kunta,0203107-0,FI02031070,kunta,"suomi, ruotsi",Kirkkonummen keskusta,Uusimaa,Helsingin seutukunta
95,260,Kitee,Kiteen kaupunki,0168900-6,FI01689006,kaupunki,suomi,Kiteen keskustaajama,Pohjois-Karjala,Keski-Karjalan seutukunta
96,261,Kittilä,Kittilän kunta,0191406-6,FI01914066,kunta,suomi,Kittilän kirkonkylä,Lappi,Tunturi-Lapin seutukunta
97,263,Kiuruvesi,Kiuruveden kaupunki,0170843-0,FI01708430,kaupunki,suomi,Kiuruveden keskustaajama,Pohjois-Savo,Ylä-Savon seutukunta
98,265,Kivijärvi,Kivijärven kunta,0176150-6,FI01761506,kunta,suomi,Kivijärven kirkonkylä,Keski-Suomi,Saarijärven–Viitasaaren seutukunta
99,271,Kokemäki,Kokemäen kaupunki,0203925-9,FI02039259,kaupunki,suomi,Tulkkila,Satakunta,Porin seutukunta
100,272,Kokkola,Kokkolan kaupunki,0179377-8,FI01793778,kaupunki,"suomi, ruotsi",Kokkolan keskustaajama,Keski-Pohjanmaa,Kokkolan seutukunta
101,273,Kolari,Kolarin kunta,0191528-8,FI01915288,kunta,suomi,Kolarin kirkonkylä,Lappi,Tunturi-Lapin seutukunta
102,275,Konnevesi,Konneveden kunta,0176227-7,FI01762277,kunta,suomi,Konneveden kirkonkylä,Keski-Suomi,Äänekosken seutukunta
103,276,Kontiolahti,Kontiolahden kunta,0169048-8,FI01690488,kunta,suomi,Kontiolahden kirkonkylä,Pohjois-Karjala,Joensuun seutukunta
104,280,Korsnäs,Korsnäs kommun,0179699-5,FI01796995,kunta,"ruotsi, suomi",Korsnäsin kirkonkylä,Pohjanmaa,Vaasan seutukunta
105,284,Koski Tl,Kosken tl kunta,0213007-9,FI02130079,kunta,suomi,Kosken Tl kirkonkylä,Varsinais-Suomi,Loimaan seutukunta
106,285,Kotka,Kotkan kaupunki,0160225-7,FI01602257,kaupunki,suomi,Kotkan keskustaajama,Kymenlaakso,Kotka–Haminan seutukunta
107,286,Kouvola,Kouvolan kaupunki,0161075-9,FI01610759,kaupunki,suomi,Kouvolan keskustaajama,Kymenlaakso,Kouvolan seutukunta
108,287,Kristiinankaupunki,Kristinestad stad,0216509-5,FI02165095,kaupunki,"ruotsi, suomi",Kristiinankaupungin keskustaajama,Pohjanmaa,Suupohjan rannikkoseutu
109,288,Kruunupyy,Kronoby kommun,0180065-9,FI01800659,kunta,"ruotsi, suomi",Kruunupyyn kirkonkylä,Pohjanmaa,Jakobstadsregionen
110,290,Kuhmo,Kuhmon kaupunki,0186204-0,FI01862040,kaupunki,suomi,Kuhmon keskustaajama,Kainuu,Kehys-Kainuun seutukunta
111,291,Kuhmoinen,Kuhmoisten kunta,0176357-9,FI01763579,kunta,suomi,Kuhmoisten kirkonkylä,Pirkanmaa,Tampereen seutukunta
112,295,Kumlinge,Kumlinge kommun,0205030-0,FI02050300,kunta,ruotsi,Kumlinge,Ahvenanmaa,Ålands skärgård
113,297,Kuopio,Kuopion kaupunki,0171450-7,FI01714507,kaupunki,suomi,Kuopion keskustaajama,Pohjois-Savo,Kuopion seutukunta
114,300,Kuortane,Kuortaneen kunta,0180117-6,FI01801176,kunta,suomi,Kuortaneen kirkonkylä,Etelä-Pohjanmaa,Kuusiokuntien seutukunta
115,301,Kurikka,Kurikan kaupunki,0209046-8,FI02090468,kaupunki,suomi,Kurikan keskustaajama,Etelä-Pohjanmaa,Seinäjoen seutukunta
116,304,Kustavi,Kustavin kunta,0134349-4,FI01343494,kunta,suomi,Kustavin kirkonkylä,Varsinais-Suomi,Vakka-Suomen seutukunta
117,305,Kuusamo,Kuusamon kaupunki,0186418-5,FI01864185,kaupunki,suomi,Kuusamon keskustaajama,Pohjois-Pohjanmaa,Koillismaan seutukunta
118,312,Kyyjärvi,Kyyjärven kunta,0176410-9,FI01764109,kunta,suomi,Kyyjärven kirkonkylä,Keski-Suomi,Saarijärven–Viitasaaren seutukunta
119,316,Kärkölä,Kärkölän kunta,0148268-9,FI01482689,kunta,suomi,Järvelä,Päijät-Häme,Lahden seutukunta
120,317,Kärsämäki,Kärsämäen kunta,0186511-0,FI01865110,kunta,suomi,Kärsämäen kirkonkylä,Pohjois-Pohjanmaa,Nivala–Haapajärven seutukunta
121,318,Kökar,Kökar kommun,0205032-7,FI02050327,kunta,ruotsi,Karlby,Ahvenanmaa,Ålands skärgård
122,398,Lahti,Lahden kaupunki,0149669-3,FI01496693,kaupunki,suomi,Lahden keskustaajama,Päijät-Häme,Lahden seutukunta
123,399,Laihia,Laihian kunta,0180451-0,FI01804510,kunta,suomi,Laihian kirkonkylä,Pohjanmaa,Vaasan seutukunta
124,400,Laitila,Laitilan kaupunki,0134480-9,FI01344809,kaupunki,suomi,Laitilan keskustaajama,Varsinais-Suomi,Vakka-Suomen seutukunta
125,407,Lapinjärvi,Lapinjärven kunta,0203135-3,FI02031353,kunta,"suomi, ruotsi",Lapinjärven kirkonkylä,Uusimaa,Loviisan seutukunta
126,402,Lapinlahti,Lapinlahden kunta,0172127-2,FI01721272,kunta,suomi,Lapinlahden kirkonkylä,Pohjois-Savo,Ylä-Savon seutukunta
127,403,Lappajärvi,Lappajärven kunta,0180516-9,FI01805169,kunta,suomi,Lappajärven kirkonkylä,Etelä-Pohjanmaa,Järviseudun seutukunta
128,405,Lappeenranta,Lappeenrannan kaupunki,0162193-3,FI01621933,kaupunki,suomi,Lappeenrannan keskustaajama,Etelä-Karjala,Lappeenrannan seutukunta
129,408,Lapua,Lapuan kaupunki,0209113-7,FI02091137,kaupunki,suomi,Lapuan keskustaajama,Etelä-Pohjanmaa,Seinäjoen seutukunta
130,410,Laukaa,Laukaan kunta,0176478-2,FI01764782,kunta,suomi,Laukaan kirkonkylä,Keski-Suomi,Jyväskylän seutukunta
131,416,Lemi,Lemin kunta,0162576-6,FI01625766,kunta,suomi,Lemin kirkonkylä,Etelä-Karjala,Lappeenrannan seutukunta
132,417,Lemland,Lemlands kommun,0205034-3,FI02050343,kunta,ruotsi,Söderby,Ahvenanmaa,Ålands landsbygd
133,418,Lempäälä,Lempäälän kunta,0150783-1,FI01507831,kunta,suomi,Lempäälän kirkonkylä,Pirkanmaa,Tampereen seutukunta
134,420,Leppävirta,Leppävirran kunta,0172231-2,FI01722312,kunta,suomi,Leppävirran kirkonkylä,Pohjois-Savo,Varkauden seutukunta
135,421,Lestijärvi,Lestijärven kunta,0180774-6,FI01807746,kunta,suomi,Lestijärven kirkonkylä,Keski-Pohjanmaa,Kaustisen seutukunta
136,422,Lieksa,Lieksan kaupunki,0169321-6,FI01693216,kaupunki,suomi,Lieksan keskustaajama,Pohjois-Karjala,Pielisen Karjalan seutukunta
137,423,Lieto,Liedon kaupunki,0134698-6,FI01346986,kaupunki,suomi,Liedon kirkonkylä,Varsinais-Suomi,Turun seutukunta
138,425,Liminka,Limingan kunta,0186553-2,FI01865532,kunta,suomi,Limingan kirkonkylä,Pohjois-Pohjanmaa,Oulun seutukunta
139,426,Liperi,Liperin kunta,0169583-6,FI01695836,kunta,suomi,Liperin kirkonkylä,Pohjois-Karjala,Joensuun seutukunta
140,444,Lohja,Lohjan kaupunki,1068322-0,FI10683220,kaupunki,"suomi, ruotsi",Lohjan keskustaajama,Uusimaa,Helsingin seutukunta
141,430,Loimaa,Loimaan kaupunki,1927453-8,FI19274538,kaupunki,suomi,Loimaan keskustaajama,Varsinais-Suomi,Loimaan seutukunta
142,433,Loppi,Lopen kunta,0150919-1,FI01509191,kunta,suomi,Lopen kirkonkylä,Kanta-Häme,Riihimäen seutukunta
143,434,Loviisa,Loviisan kaupunki,0203263-9,FI02032639,kaupunki,"suomi, ruotsi",Loviisan keskustaajama,Uusimaa,Loviisan seutukunta
144,435,Luhanka,Luhangan kunta,0176592-9,FI01765929,kunta,suomi,Luhangan kirkonkylä,Keski-Suomi,Joutsan seutukunta
145,436,Lumijoki,Lumijoen kunta,0186580-7,FI01865807,kunta,suomi,Lumijoen kirkonkylä,Pohjois-Pohjanmaa,Oulun seutukunta
146,438,Lumparland,Lumparlands kommun,0205038-6,FI02050386,kunta,ruotsi,Klemetsby,Ahvenanmaa,Ålands landsbygd
147,440,Luoto,Larsmo kommun,0180857-0,FI01808570,kunta,"ruotsi, suomi",Holm,Pohjanmaa,Jakobstadsregionen
148,441,Luumäki,Luumäen kunta,0162631-2,FI01626312,kunta,suomi,Taavetti,Etelä-Karjala,Lappeenrannan seutukunta
